filename,wave_size,text
sample-chap20-0.wav,65872,saantaakruj eyaraport se baahar aate hee taiksee vaalon se maaloom pada kee bambee band hai shiv sena vaalon ne hadataal karava rakhee hai aur sadakon par traiphik nahin chalane diya ja raha
sample-chap20-1.wav,20106,vahaan se kolaaba pahunchana lagabhag asambhav tha
sample-chap20-2.wav,16344,ab kya karen tabhee veena ko dhyaan aaya
sample-chap20-3.wav,24703,usake door ke rishte kee mausee ka ek ladaka andheree mein kaheen rahata hai
sample-chap20-4.wav,15299,lekin ghar ka pata bhee nahin tha
sample-chap20-5.wav,22613,haan use yaad aaya usakee saas ka paitrol pamp hai
sample-chap20-6.wav,11746,vaheen saantaakruj ke paas
sample-chap20-7.wav,30137,usane dev ko bataaya aur taiksee vaale se poochha  andheree tak nahin ja paenge
sample-chap20-8.wav,22613,vo to najadeek hai us taraph abhee gadabad nahin hai
sample-chap20-9.wav,7776,vahaan to ja sakate hain
sample-chap20-10.wav,9030,taiksee vaale ne kaha
sample-chap20-11.wav,37033,lekin hamaare paas pata nahin hai bas itana maaloom hai unaka hee saantaakruj mein paitrol pamp hai
sample-chap20-12.wav,13000,veena ne tab use bataaya
sample-chap20-13.wav,15090,saantaakruj mein to paanchachhah paitrol pamp hain
sample-chap20-14.wav,14881,naam maaloom hai paitrol pamp ka
sample-chap20-15.wav,23658,naam to maaloom nahin haan us pamp ko ek aurat chalaatee hai
sample-chap20-16.wav,10910,vahee usakee maalakin hai
sample-chap20-17.wav,15299,veena ne aur koshish kee jaanakaaree dene kee
sample-chap20-18.wav,17180,are sharad paitrol pamp kee baat kar rahee hain aap
sample-chap20-19.wav,4223,chalie
sample-chap20-20.wav,13836,vah to bas yaheen paas mein hai
sample-chap20-21.wav,37451,taiksee vaale ke munh se yah sunakar sabhee ne raahat kee saans lee aur taiksee mein samaan rakhakar paitrol pamp kee or chal die
sample-chap20-22.wav,21150,draeevar seedha paitrol pamp par unhen le aaya
sample-chap20-23.wav,22822,veena aur dev taiksee se utar ka pamp ke ophis mein gae
sample-chap20-24.wav,17389,vahaan baithee mahila ko veena ek najar mein pahachaan gaee
sample-chap20-25.wav,32853,vah teenavarsh pahale deharaadoon mein unake ghar aaee thee aur vahaan das din rahee thee
sample-chap20-26.wav,61693,mahila ne bhee veena ko dekhate hee pahachaan liya khushee se lapak kar uthee aur use gale lagaatee huee bolee  are veena betee aise achaanak main koee sapana to nahin dekh rahee
sample-chap20-27.wav,5895,dekh leejie
sample-chap20-28.wav,9657,aapaka pata dhoondh liya
sample-chap20-29.wav,26166,chale the to dhyaan bhee nahin raha ki ghar se aapaka pata mangava letee
sample-chap20-30.wav,17180,inase milie ye mere pati hain dev
sample-chap20-31.wav,11746,veena ne dev ka parichay diya
sample-chap20-32.wav,13836,tab dev ne unhen pranaam kiya
sample-chap20-33.wav,37660,veena ne tab unhen bataaya  eyaraport se maaloom pada ki band ke kaaran sabhee raaston mein kaaphee todaphod ho rahee hai
sample-chap20-34.wav,16344,isalie idhar aapake paas chale aae
sample-chap20-35.wav,2969,are
sample-chap20-36.wav,4432,kamaal hai
sample-chap20-37.wav,17807,apana ghar hai chalo tum vahaan ajay hoga
sample-chap20-38.wav,16971,tab unhonne taiksee vaale ko ghar ka pata bata diya
sample-chap20-39.wav,15717,main shaam ko aaoongee tabhee baat karenge
sample-chap20-40.wav,10075,devaveena ne tab unase vida lee
sample-chap20-41.wav,15299,amit tab taiksee mein hee baitha tha
sample-chap20-42.wav,16553,ajay us samay ghar par hee tha
sample-chap20-43.wav,21150,veena va usake pati ko dekhakar badee garm joshee se unhen mila
sample-chap20-44.wav,21568,baaton hee baaton mein dev ne use beemaaree ka bata diya
sample-chap20-45.wav,19897,sab samaachaar sunakar ajay ka man bujhasa gaya
